time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0,3.10056218496608,2.31742046858855,-0.00923030493411088,0.170113235456899,0,0,0,2.22044604925031e-16,1.77635683940025e-15,-4.3230289807774e-15,0.586258973244193,-0.416145737787295,0.0709724201019283,586.258973244193,-416.145737787295,70.9724201019283,56377.6780200212,57127.434454874,957.800418182993
0.001,3.10056214620184,2.31742063755314,-0.00923030493411123,0.17011330308446,-0.000108540048602284,0.000473102331111689,-4.94011899090325e-20,-0.210490874467375,0.917486295078877,-6.1246333882833e-15,0.586258996522229,-0.416145693437768,0.0709724379577648,2.32780354281203e-05,4.43495262629767e-05,1.78558365035997e-05,61672.5474462324,62515.191263423,927.243100744378
0.002,3.10056190084855,2.31742170699774,-0.00923030493411148,0.170113731129241,-0.000407070252207401,0.0017743384762335,-6.98412405782611e-20,-0.380923486877509,1.66037642470352,-6.00807079688903e-15,0.586259143853937,-0.416145412724696,0.0709725509731087,0.000147331708376441,0.000280713072527305,0.000113015343970346,65959.7932458382,66877.6726772917,902.50456695612
0.003,3.10056127792604,2.31742442219769,-0.00923030493411198,0.17011481789507,-0.000858452861782765,0.00374183421174305,-3.31461123930893e-19,-0.517019261618195,2.25359232074174,-2.89986939957403e-15,0.586259517900406,-0.416144700005336,0.0709728379024281,0.00037404646889172,0.000712719360024039,0.000286929319386786,69383.2529567965,70361.2500945063,882.755107663325
0.004,3.10056014085978,2.31742937845416,-0.00923030493411154,0.170116801665299,-0.00143090192920767,0.00623702505007497,-4.09958496733844e-19,-0.623774466325593,2.71889366168475,-3.14155746635912e-15,0.586260200651658,-0.416143398986358,0.0709733616482036,0.00068275125170203,0.00130101897730128,0.000523745775467432,72068.5152423139,73093.7241216874,867.269896971074
0.005,3.1005583824765,2.31743704288925,-0.00923030493411151,0.170119869425052,-0.00209730170022634,0.00914168563696101,-1.90307204876748e-19,-0.705545757694519,3.0752540721669,-4.24818995006219e-15,0.586261256431272,-0.416141387006219,0.0709741715648348,0.00105577961403469,0.00201198013911608,0.000809916631183683,74125.088934583,75186.5313710438,855.416726137105
0.006,3.10055592064041,2.31744777345113,-0.00923030493411147,0.170124164466927,-0.00283460573492943,0.0123553134666907,-1.06848136328712e-18,-0.766126245962445,3.33919434895854,-3.47684022725346e-15,0.586262734516339,-0.416138570049412,0.0709753054676032,0.00147808506744695,0.0028169568071803,0.00113390276843006,75648.3250968543,76736.7002399053,846.645062171472
0.007,3.10055269445365,2.31746183546266,-0.00923030493411217,0.170129793013669,-0.00362330776155321,0.0157928263724013,-1.56230783093664e-18,-0.80881304014664,3.52507748839923,-6.54513821834984e-15,0.586264671418752,-0.416134878405083,0.0709767913819632,0.00193690241258082,0.00369164432947855,0.00148591436001766,76721.1192971514,77828.5832192874,840.476306840431
0.008,3.10054866095355,2.31747941600909,-0.00923030493411063,0.170136829976042,-0.00444697619166982,0.0193825377585706,-1.80047669929495e-18,-0.836467156628861,3.64536976994443,-5.64797765211436e-15,0.586267092868557,-0.416130262892515,0.0709786490643909,0.00242144980518333,0.00461551256768189,0.00185768242768347,77415.4183933881,78535.3903736433,836.495139152286
0.009,3.10054379224661,2.31750063642614,-0.0092303049341116,0.170145323950511,-0.00529184506852346,0.0230643775612216,-2.93047702108821e-20,-0.851566596238431,3.71087168609135,-4.02017332028012e-15,0.586270015535425,-0.416124691584914,0.0709808913224282,0.00292266686824405,0.00557130760131486,0.00224225803732736,77793.553529047,78920.5460164373,834.341832541651
