time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0.1,2.69251285731854,3.27279332681181,-0.009230304934112,0.909637138728135,0.136191759540074,-0.123235878106251,-1.09777491646165E-17,0.013713149445785,-0.023581087489998,-1.44637892116271E-15,0.219774246007492,0.689862892720643,0.386774606533602,-0.024054435852008,-0.039636543034135,-0.000751384913428,46371.9366478239,-95516.7024894966,4459.95920024735
0.2,2.70617540230088,3.26037385479608,-0.009230304934112,0.903229590523493,0.13700103430578,-0.125108600716509,-1.90314767304506E-17,0.007259018282332,-0.018201381116306,-2.48754227787751E-15,0.217366631708468,0.685862958815026,0.386699357720966,-0.024087654777389,-0.040338505730688,-0.000753265880803,46608.9740062537,-98000.9657222713,4437.83891749592
0.3,2.71991125039561,3.24777171873571,-0.009230304934112,0.896751690361041,0.137710463731551,-0.126936845719614,-9.31133725699091E-18,0.006931655334939,-0.018365182165406,-7.09820364271043E-16,0.214956832857853,0.681794857503188,0.386623955958796,-0.024108079187386,-0.041016071787226,-0.000754754402124,46802.4083489664,-100442.917741097,4414.93715420928
0.4,2.73371639869932,3.23498594220814,-0.009230304934112,0.890204207576525,0.138386961156782,-0.128781362682828,-1.2173237532889E-18,0.006599922512135,-0.018526396092828,-2.51779312753649E-15,0.212545003164956,0.67765920441157,0.386548405362228,-0.024128274742111,-0.041689572228393,-0.000756242598811,46996.9963601153,-103003.301579751,4391.60157243565
0.5,2.74758753000196,3.22201491329498,-0.009230304934112,0.883587574742231,0.139030042681474,-0.130641838992938,5.27928985658971E-18,0.006263319613687,-0.018684344950682,-1.24876414862168E-15,0.210131165426732,0.673456409315499,0.386472705960685,-0.024148242341909,-0.042358942095461,-0.000757730504404,47192.6980167403,-105689.75110597,4367.82876087527
0.6,2.76152127845819,3.20885705267173,-0.009230304934111,0.876902231073218,0.139639224163766,-0.132517939594647,4.76222687591192E-18,0.005921904368057,-0.018838857529053,-1.67080585542363E-15,0.207715342448213,0.669186888625005,0.386396857783309,-0.0241679817982,-0.043024115067851,-0.000759218118333,47389.4686096279,-108510.541664535,4343.61536029306
0.7,2.77551423010414,3.19551081537517,-0.009230304934112,0.870148622414426,0.140214027444525,-0.134409312319421,-1.93098231445664E-17,0.005575738683773,-0.018989762755766,-1.65090388932573E-15,0.205297557053187,0.664851065361239,0.386320860859297,-0.024187492924455,-0.043685025240848,-0.000760705439916,47587.2628200654,-111474.677427518,4318.95809906241
0.8,2.78956292347659,3.18197469251389,-0.009230304934112,0.863327201198548,0.140753980765999,-0.136315587904331,-5.55431096247921E-18,0.005224888697323,-0.019136889830744,-2.70432268802197E-15,0.202877832083982,0.660449369114566,0.386244715217906,-0.024206775536356,-0.044341607131742,-0.000762192468756,47786.0347269158,-114591.974695322,4293.85379711843
0.9,2.80366385027424,3.16824721297617,-0.009230304934112,0.85643842640325,0.141258619194932,-0.138236380024565,-1.76947807514776E-18,0.004869424776762,-0.019280068333361,-2.86019759246752E-15,0.200456190401251,0.655982236001999,0.386168420888449,-0.02422582945178,-0.044993795686878,-0.000763679204113,47985.7378144695,-117873.156975207,4268.299369897
1,2.81781345606147,3.154326945134,-0.009230304934111,0.849482763507747,0.141727485050046,-0.140171285340086,1.18633119165578E-17,0.004509421604129,-0.01941912838989,-3.05168060820437E-15,0.198032654883754,0.651450108623993,0.386091977900295,-0.024244654490616,-0.045641526288136,-0.000765165645475,48186.324980299,-121329.963820131,4242.29183226428
