time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0,3.14316596082031,1.84805068268398,-0.00923030493411179,0.33205384688629,0,0,0,0,1.77635683940025e-15,-2.25421815273195e-15,0.0840132702150771,0.248040576671213,-0.0964366910991443,84.0132702150771,248.040576671213,-96.4366910991443,52813.9239569338,252456.519957047,-94592.3905713014
0.001,3.14316599267367,1.84805061064658,-0.00923030493411082,0.332053823996517,8.91897314161994e-05,-0.000201704743655375,5.47715214617698e-21,0.172965581076916,-0.391163269941181,-1.62580792382938e-15,0.0840132480075607,0.248040575988956,-0.0964366814018071,-2.22075163947011e-05,-6.82256654727098e-07,9.69733719102805e-06,50620.2296682411,241632.32450887,-94571.4186420704
0.002,3.14316619428663,1.8480501546976,-0.00923030493411211,0.332053679119209,0.000334500545584858,-0.000756471404154947,1.46367270301239e-20,0.313016676926802,-0.707876037373266,-1.08447831649717e-15,0.084013107448488,0.248040571670721,-0.0964366200218692,-0.000140559072704605,-4.31823494295713e-06,6.13799379038937e-05,48844.0571305091,232868.259366095,-94554.3293010938
0.003,3.14316670615989,1.84804899710708,-0.00923030493411125,0.332053311295473,0.000705416027351946,-0.00159527479932324,1.13488952848566e-19,0.424851009479005,-0.960766372262038,-1.36542720139983e-15,0.0840127505881503,0.248040560707323,-0.0964364641805221,-0.000356860337717535,-1.09633985800883e-05,0.000155841347108776,47425.807754332,225870.25725327,-94540.5216486024
0.004,3.14316764052084,1.84804688409541,-0.00923030493411119,0.332052639886203,0.00117581351922763,-0.00265903032243679,2.03271747249198e-19,0.512570109746297,-1.15911383703144,-1.74365941467636e-15,0.0840120991909642,0.248040540695239,-0.0964361797028935,-0.000651397186146596,-2.00120836666429e-05,0.000284477628596846,46313.4449425779,220381.562986986,-94529.4740509759
0.005,3.14316908543178,1.84804361653864,-0.00923030493411253,0.332051601618905,0.00172340411936917,-0.00389732712043126,-4.57168578333572e-20,0.579750346127725,-1.31100983759385,-1.35014497053244e-15,0.084011091870317,0.248040509748588,-0.0964357397678664,-0.00100732064720432,-3.09466509520462e-05,0.000439935027088723,45461.5947127752,216178.295547474,-94520.7344599153
0.006,3.14317110837225,1.84803904186368,-0.00923030493411199,0.332050148012573,0.00232923955428823,-0.00526731231321245,8.22734195501574e-20,0.629505798036536,-1.42349968841568,-9.68677153909615e-16,0.084009681590202,0.248040466422371,-0.0964351238179262,-0.00141028011491073,-4.33262174510674e-05,0.000615949940225846,44830.7489590956,213065.516653154,-94513.9118683619
0.007,3.14317375935831,1.84803304699108,-0.00923030493411163,0.332048243135416,0.00297727823977125,-0.00673270899706952,1.14976366015291e-19,0.6645438938883,-1.50270841366993,-7.98038018598545e-16,0.0840078334897799,0.248040409645636,-0.0964343166098992,-0.0018481004221087,-5.67767347945392e-05,0.000807208026955664,44386.5599796056,210873.749777916,-94508.6687710884
0.008,3.14317707365467,1.84802555219949,-0.00923030493411155,0.332045861655403,0.00365400370965208,-0.00826295268654943,6.80185454451918e-19,0.687214628725349,-1.55395208883406,-1.03015224177553e-15,0.0840055229920291,0.248040338663374,-0.0964333073896402,-0.0023104977508126,-7.09822616897782e-05,0.00100922025897887,44099.2161258065,209455.899515943,-94504.7145136006
0.009,3.14318107412877,1.84801650580028,-0.00923030493411166,0.332042987148199,0.00434808936063502,-0.00983243255437215,1.62250036674872e-19,0.699554085121849,-1.58183633223491,-2.27473884103503e-15,0.0840027341621167,0.248040252986082,-0.0964320891756737,-0.00278882991237595,-8.56772918211846e-05,0.00121821396652422,43942.8895319584,208684.52664371,-94501.799426695
