"time","boom_x","boom_y","boom_z","boom_angle","boom_x_velocity","boom_y_velocity","boom_z_velocity","boom_x_acceleration","boom_y_acceleration","boom_z_acceleration","theta1","theta2","xt2","theta1dot","theta2dot","xt2dot","fc1","fc2","fct2"
0.1,3.09868817365934,2.32554239740818,-0.009230304934112,0.173367119909555,-0.023576362209421,0.101596427161732,-8.21166019530006E-18,-0.005202818173266,0.007937716518972,-5.04541539982018E-15,0.587373596710779,-0.414006476801225,0.071829356328968,0.01389188295525,0.026845425353542,0.010703005139135,56420.9285170873,57284.6254874188,973.920566057752
0.2,3.09630873426232,2.33572312666004,-0.009230304934112,0.177454263355755,-0.024003947966234,0.101977473135361,-4.01295476144896E-18,-0.004179465942219,0.003271523238681,-4.40930794356073E-15,0.58875912229118,-0.411304858935424,0.072899843087582,0.013813666965689,0.027172462557019,0.010702343756293,56382.0874900772,57391.6778258233,996.820031709197
0.3,3.0938873738012,2.34593711486257,-0.00923030493411,0.181564276392864,-0.024423946431083,0.10230114400856,-3.72023695615707E-18,-0.00422054924424,0.00320268375909,-5.77522603589945E-15,0.590136161793486,-0.408571885400622,0.073969757430099,0.013727946410313,0.027483550713043,0.010695990811783,56369.0343703801,57527.3720403705,1019.67992263471
0.4,3.09142380872323,2.3561831261228,-0.009230304934111,0.185696710808911,-0.024848030589116,0.102617922367704,-8.78556588575403E-18,-0.004261099156522,0.003133335627995,-5.08528710140894E-15,0.591504619090825,-0.405807908281914,0.075039031760357,0.013642025578406,0.027792552134883,0.010689544834932,56355.1898658441,57664.624845892,1042.64726682637
0.5,3.08891763356324,2.36646046696638,-0.009230304934112,0.189851336946098,-0.025276137154964,0.102927720436033,-5.13769689041281E-18,-0.004300994257125,0.003063070290043,-4.04843141634162E-15,0.592864474275715,-0.403013137329617,0.076107656821695,0.013555906353759,0.028099444580334,0.010683006367671,56340.5424198037,57803.443915816,1065.72012751576
0.6,3.08636844939294,2.37676843479338,-0.009230304934112,0.194027922953369,-0.025708199493212,0.103230446949041,-5.4978533356717E-18,-0.004340211403885,0.002991896871922,-4.23861109819558E-15,0.5942157075721,-0.400187784618731,0.077175623367924,0.013469589988745,0.028404204761785,0.010676375466588,56325.0829990919,57943.839821247,1088.89653228252
0.7,3.08377586406318,2.38710631792379,-0.009230304934112,0.19822623478443,-0.026144148658058,0.103526011577357,-7.8095748396938E-18,-0.00437872752818,0.002919824931741,-5.48364592046098E-15,0.595558299329313,-0.397332064544883,0.078242922158555,0.013383077738581,0.028706809553171,0.010669652189066,56308.8026822462,58085.8235721846,1112.17448673541
0.8,3.08113949243459,2.39747339569325,-0.009230304934111,0.202446036214297,-0.026583913401499,0.103814324969794,2.24600353134957E-18,-0.004416519657612,0.002846864482208,-3.54931707161552E-15,0.596892230022358,-0.394446193808061,0.079309543958872,0.01329637086144,0.029007235991799,0.010662836593284,56291.6926641036,58229.4066282575,1135.55197478837
0.9,3.07845895660729,2.40786893855294,-0.009230304934111,0.206687088856027,-0.027027420182627,0.104095298796187,-1.31201851540785E-17,-0.00445356489944,0.002773025920014,-5.23905257962587E-15,0.598217480252195,-0.391530391396168,0.080375479540022,0.013209470618449,0.029305461280728,0.010655928738188,56273.7442598066,58374.6009091872,1159.02695895873
1,3.07573388614973,2.41829220817387,-0.009230304934112,0.210949152177613,-0.027474593177978,0.104368845790071,-9.19487857070786E-18,-0.004489840495843,0.002698320120913,-4.16631834392672E-15,0.599534030746022,-0.388584878568409,0.081440719679086,0.013122378273124,0.029601462789628,0.010648928683594,56254.9489098678,58521.4188066488,1182.59738065458
1.1,3.07296391832637,2.42874245755539,-0.009230304934112,0.215231983519061,-0.02792535429314,0.104634879791544,-4.91215789328189E-18,-0.004525323795863,0.002622758362747,-2.93304905045007E-15,0.600841862357555,-0.385609878838494,0.082505255159162,0.013035095092164,0.029895218057163,0.010641836490009,56235.2981840962,58669.8731953559,1206.26116050015
1.2,3.07014869832411,2.43921893113793,-0.009230304934112,0.219535338109623,-0.028379623175495,0.104893315790027,-7.08694990703673E-18,-0.00455999227953,0.002546352341561,-3.25717195596473E-15,0.602140956067306,-0.382605617957683,0.083569076769448,0.012947622344882,0.030186704792413,0.01063465221884,56214.7837861529,58819.9774451228,1230.01619865301
1.3,3.06728787947745,2.44972086492015,-0.009230304934112,0.223858969085207,-0.028837317228115,0.10514406996702,-9.96919152770723E-18,-0.004593823577197,0.00246911419582,-4.63005897825601E-15,0.603431292982862,-0.379572323897654,0.084632175305317,0.012859961303548,0.030475900876411,0.010627375932231,56193.3975581286,58971.7454333369,1253.86037513593
1.4,3.0643811234922,2.46024748658023,-0.009230304934111,0.228202627505952,-0.029298351624872,0.105387059738751,-1.04011603793269E-17,-0.004626795482366,0.002391056497425,-4.58152085190761E-15,0.604712854339156,-0.376510226833204,0.085694541568396,0.01277211324259,0.030762784364299,0.010620007693163,56171.1314849168,59125.1915576137,1277.79155017914
1.5,3.06142810066753,2.47079801560145,-0.009230304934112,0.232566062373964,-0.029762639326707,0.105622203798753,-3.77594163826134E-18,-0.004658885941979,0.00231219221917,-3.18968744188178E-15,0.605985621498743,-0.373419559124779,0.086756166366652,0.012684079439964,0.031047333486356,0.010612547565344,56147.9776983822,59280.3307486624,1301.80756458265
