time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0,2.6816344985572,3.28260116733541,-0.00923030493411217,0.914713815675248,0,0,0,-8.88178419700125e-16,5.32907051820075e-15,-1.13622068573251e-15,0.221699100276009,0.693014715399238,0.386834707228555,221.699100276009,693.014715399238,386.834707228555,46364.4920755563,-94187.3542339255,4483.02844180057
0.001,2.68163472463447,3.28260096423179,-0.00923030493411185,0.914713710401025,0.000633022213549096,-0.000568694227280359,-1.0162199748158e-19,1.22763351621086,-1.10287650010363,-2.70308313734066e-15,0.221699060191876,0.693014650209148,0.38683470597756,-4.00841331895663e-05,-6.519009002659e-05,-1.25099512615634e-06,37422.5679937983,-63827.0241678782,4411.65074292303
0.002,2.6816361555978,3.28259967868939,-0.00923030493411219,0.914713044062659,0.00237416352130817,-0.00213288475915971,-2.36137390230462e-19,2.2217325970016,-1.99593098969484,-1.7360503422865e-15,0.221698806485364,0.693014237577296,0.386834698059547,-0.000253706512694407,-0.000412631852782397,-7.91801295463301e-06,30181.7992592728,-39242.5087955829,4353.85983808862
0.003,2.6816397887358,3.28259641478686,-0.00923030493411179,0.914711352259803,0.00500690132330435,-0.0044980405206514,-4.01061068981516e-19,3.01562263774491,-2.70911850444796,-3.785142629259e-15,0.221698162358712,0.693013189901091,0.386834677956703,-0.000644126651536681,-0.00104767620496204,-2.01028443598261e-05,24399.3908861265,-19609.4840413222,4307.71131538593
0.004,2.6816464207268,3.28259045683021,-0.00923030493411223,0.914708264000283,0.00834588192027988,-0.00749764887321549,-4.01332515344884e-19,3.6383994118304,-3.26859517556481,-1.30169759560256e-15,0.221696986597485,0.693011277402798,0.386834641261684,-0.00117576122673313,-0.00191249829288154,-3.66950190482385e-05,19863.349934941,-4208.17170797046,4271.5068285105
0.005,2.68165667678227,3.28258124315415,-0.00923030493411206,0.914703488127351,0.0122329478692205,-0.010989646055553,-6.48417981439429e-19,4.11543340588557,-3.69716855512249,-1.71629441301621e-15,0.221695168399081,0.69300831972827,0.38683458451623,-0.00181819840440767,-0.00295767452769269,-5.6745453377971e-05,16388.8237227447,7589.05969539823,4243.76539636102
0.006,2.68167103605935,3.28256834327687,-0.00923030493411199,0.914696801484304,0.016533640084992,-0.0148532721058513,-5.69151532035062e-19,4.4688160745045,-4.01469714487985,-2.76102482839077e-15,0.221692622863281,0.693004178621023,0.38683450507044,-0.00254553580003858,-0.00414110724716465,-7.94457899360168e-05,13814.8553438104,16328.6938575179,4223.19776350442
0.007,2.68168985378961,3.28255143800801,-0.00923030493411217,0.914688038608732,0.0211341199721562,-0.018986302233123,-3.5060006928243e-18,4.71775461613844,-4.23844457031472,-2.37458965609196e-15,0.22168928706567,0.692998751543062,0.386834400960232,-0.00333579761084479,-0.00542707796068953,-0.000104110207928443,12001.5104355547,22485.8157077419,4208.68354722615
0.008,2.68171338051924,3.28253030215547,-0.00923030493411148,0.914677082772438,0.0259384630846813,-0.0233026117753094,2.86900737252212e-19,4.87892111145734,-4.38339330476357,-2.43645493469165e-15,0.221685116643824,0.692991966128615,0.38683427080081,-0.00417042184636784,-0.00678541444767689,-0.000130159422326415,10827.3340595735,26472.7460076251,4199.25090902631
0.009,2.68174177881032,3.28250478951661,-0.00923030493411196,0.914663858204237,0.030866281311625,-0.0277300365365798,-1.60694393210198e-18,4.96676119723266,-4.46252235498016,-2.18320335202517e-15,0.221680082834229,0.692983775370007,0.386834113694193,-0.00503380959412425,-0.00819075860738394,-0.000157106616882174,10187.100994961,28646.6832350154,4194.05850368087
0.01,2.68177513771226,3.28247481987606,-0.00923030493411117,0.914648323351646,0.0358506354598909,-0.0322084944787036,-2.93882666541486e-18,4.99376686042013,-4.487052868017,-3.11914326436964e-15,0.221674169905072,0.692974153446574,0.386833929149102,-0.00591292915760278,-0.00962192343331481,-0.000184545091201471,9989.82670832654,29316.4620122666,4192.37947604319
0.011,2.68181348527657,3.28244036776403,-0.00923030493411202,0.914630465054168,0.0408362044254001,-0.0366883384928523,-1.25795491709872e-18,4.97071741832681,-4.46666520849035,-3.91173250451568e-15,0.221667372936368,0.6929630921178,0.386833717011682,-0.00679696870398061,-0.0110613287740762,-0.000212137420476211,10157.0098157963,28748.5259653696,4193.58729354432
0.012,2.68185679935639,3.28240145275776,-0.00923030493411202,0.914610293515679,0.0457776809761654,-0.0411289133379263,-3.184381535945e-18,4.90689229236705,-4.4096906824657,-3.32112587656655e-15,0.221659695904594,0.692950597611085,0.386833477405727,-0.00767703177413637,-0.0124945067146882,-0.000239605954334365,10621.0800301106,27172.2025926811,4197.1432201874
