time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0,3.42637795428184,0.0277268176837952,-0.00923030493411227,0.301926313836911,0,0,0,8.88178419700125e-16,1.77635683940025e-15,6.9452302989954e-16,-0.278261570333806,-0.0236647435031043,0.102911263188823,-278.261570333806,-23.6647435031043,102.911263188823,21941.6878064188,106405.497088168,-1682.34876868525
0.001,3.42637793487159,0.0277267870877309,-0.00923030493411134,0.30192635050728,-5.43480513875513e-05,-8.56658784124377e-05,-5.62120437161196e-21,-0.105393956755174,-0.166118631717518,2.83736733650117e-16,-0.278261543912564,-0.0236648065947164,0.10291125180911,2.64212424667676e-05,-6.30916120201164e-05,-1.13797134275728e-05,21035.9376819443,104620.861500506,-1711.64166681177
0.002,3.42637781202253,0.0277265934589652,-0.00923030493411158,0.301926582599557,-0.000203817054465384,-0.000321234521520037,-3.05120483438656e-20,-0.190714586726002,-0.300551690664555,9.10876194769946e-16,-0.278261376677344,-0.0236652059222125,0.102911179782616,0.000167235219748818,-0.000399327496154456,-7.20264936546755e-05,20303.0923190864,103176.553563478,-1735.36446753334
0.003,3.4263775001396,0.0277261019312588,-0.00923030493411221,0.301927171829742,-0.000429797309320668,-0.000677330679382154,3.87701536158957e-20,-0.258829163773619,-0.407824965788185,1.01424003639994e-15,-0.278260952072815,-0.0236662197569268,0.102910996916192,0.000424604528518557,-0.00101383471426075,-0.000182866424495387,19718.4897470574,102023.879819939,-1754.31374771008
0.004,3.4263769308683,0.0277252048526616,-0.0092303049341118,0.301928247345071,-0.000716361054382118,-0.00112881192746843,1.48654896603994e-19,-0.312241379838961,-0.491889637091846,7.87811468034279e-16,-0.278260176985354,-0.0236680703597163,0.102910663117981,0.000775087461079238,-0.00185060278948868,-0.000333798210959912,19260.5965133467,101120.334844986,-1769.18510913621
0.005,3.42637605058693,0.0277238178278775,-0.00923030493411203,0.301929910458315,-0.00104992078148647,-0.00165422895190994,8.22206829505021e-20,-0.35313434859216,-0.556190761584446,1.00450335544619e-15,-0.278258978336913,-0.023670932121402,0.102910146929394,0.00119864844134554,-0.00286176168573959,-0.00051618858711322,18910.6353073419,100428.862742288,-1780.58506224592
0.006,3.42637481821985,0.0277218762674825,-0.00923030493411179,0.301932238775967,-0.00141892810842496,-0.00223535031235705,1.87770271272669e-19,-0.383408798455983,-0.603727889977803,6.86469791066793e-16,-0.278257300114885,-0.0236749386610822,0.102909424245008,0.00167822202814705,-0.00400653968021558,-0.000722684385507932,18652.2551499075,99917.203800839,-1789.041604854
0.007,3.42637320333357,0.0277193323833096,-0.00923030493411168,0.301935289792773,-0.00181360865319883,-0.00285674426591628,-4.48364434894426e-19,-0.404716957503253,-0.637108702849396,8.59777835351506e-16,-0.278255100785829,-0.0236801890069443,0.102908477197927,0.00219932905628184,-0.00525034586208761,-0.000947047080657626,18471.2394929984,99557.3165991945,-1795.01362443601
0.008,3.42637118448167,0.0277161525762864,-0.00923030493411285,0.30193910401681,-0.0022257288335868,-0.00350541107293206,1.92101837842273e-20,-0.418492586800747,-0.658596454041232,9.56983429300159e-16,-0.27825235104689,-0.0236867529699193,0.102907293190697,0.00274973893823471,-0.00656396297496897,-0.00118400723090417,18355.247971111,99324.8669742949,-1798.89924300601
0.009,3.42636874776854,0.0277123151692134,-0.00923030493411137,0.301943707681902,-0.00264839095039789,-0.00417045994782423,-5.88776461247033e-19,-0.425977575577337,-0.670151920098194,8.49117917897224e-16,-0.278249031874072,-0.02369467580783,0.102905864054167,0.00331917281835103,-0.00792283791068016,-0.0014291365297936,18293.5880219008,99198.7762610998,-1801.04321407298
