time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0,2.99248220093675,0.0383452174353581,-0.00923030493411058,0.66422235166528,0,0,0,8.88178419700125e-16,3.5527136788005e-15,-2.21086041697849e-15,0.0933638074272826,-0.757586159092563,-0.0853985477538478,93.3638074272826,-757.586159092563,-85.3985477538478,50911.3995282669,34483.144568329,-88886.1690898808
0.001,2.99248220678584,0.0383452202171046,-0.00923030493411136,0.664222347205379,1.63796819069636e-05,7.79225577674546e-06,6.01570691958003e-21,0.0317735085992306,0.0151244033665812,-1.98406458210607e-15,0.0933638049155806,-0.75758615212096,-0.0853985471224286,-2.51170192200334e-06,6.97160305662692e-06,6.31419183605431e-07,51000.8436152041,34597.0239639024,-88877.1438997899
0.002,2.99248224382388,0.0383452378496366,-0.00923030493411181,0.664222318960949,6.14629717822642e-05,2.92734266470356e-05,-3.58986362001253e-21,0.0575480212018382,0.0274432894809493,-9.87954739955177e-16,0.0933637890181472,-0.757586107979096,-0.0853985431259648,-1.58974334425466e-05,4.41418640093616e-05,3.99646381765706e-06,51073.6464180399,34689.5753420114,-88869.8334964311
0.003,2.99248233790712,0.0383452826898143,-0.0092303049341118,0.66422224720624,0.000129686821973926,6.18406414176815e-05,2.20085838933618e-20,0.0781775709652761,0.0373536721213057,-2.01467967469162e-15,0.0933637486567265,-0.757585995862966,-0.0853985329795077,-4.0361420701629e-05,0.000112116129571405,1.01464570434473e-05,51132.1657619296,34763.8281787718,-88863.989703961
0.004,2.99248250973655,0.0383453646812383,-0.00923030493411128,0.664222116139596,0.000216287043453281,0.000103262474522272,3.06546593441378e-20,0.0944079672598761,0.0452024112562164,-1.97137171491997e-15,0.0933636749827564,-0.757585791122352,-0.0853985144586497,-7.36739700784028e-05,0.000204740613639842,1.85208579921436e-05,51178.46142169,34822.4285041167,-88859.3960541632
0.005,2.99248277560499,0.0383454917016704,-0.00923030493411204,0.664221913315218,0.000317196636629205,0.000151631822566621,-1.93511483984883e-20,0.106889661983007,0.0512921618382585,-1.36725358200833e-15,0.0933635610533158,-0.757585474368534,-0.0853984858180566,-0.000113929440587413,0.000316753818538018,2.86405931007039e-05,51214.3304924885,34867.6844467774,-88855.863997897
0.006,2.99248314804855,0.0383456698661877,-0.00923030493411089,0.664221629147543,0.000428956240166006,0.000205324384739431,7.27783517063046e-20,0.116189146271354,0.055886645095848,-1.31163882112011e-15,0.0933634015485563,-0.757585030696099,-0.0853984457204301,-0.000159504759537299,0.000443672434585096,4.00976265524378e-05,51241.3387290607,34901.6065834705,-88853.2295508749
0.007,2.99248363641413,0.0383459037913421,-0.00923030493411079,0.664221256479565,0.000548635311396289,0.000262962107702846,1.33822698714047e-21,0.122799041062392,0.0592153172708123,-2.49116595766305e-15,0.0933631925256572,-0.757584449005222,-0.0853983931746515,-0.000209022899142042,0.00058169087776605,5.25457785300887e-05,51260.8483001653,34925.9436687914,-88851.3503253005
0.008,2.99248424735285,0.0383461968250084,-0.00923030493411139,0.664220790207411,0.000673762806282002,0.000323381026432016,-2.49527683145913e-22,0.127147027056338,0.061477502591309,-2.02712572279727e-15,0.0933629312049115,-0.757583721412322,-0.0853983274820044,-0.000261320745664761,0.000727592899693263,6.56926471833685e-05,51274.0423562204,34942.2142593571,-88850.1029042087
0.009,2.9924849852485,0.0383465512460562,-0.00923030493411189,0.664220226954383,0.000802266264322189,0.000385602995563215,-2.64371356186083e-19,0.129603743745859,0.0628460501330999,-8.28393036506621e-16,0.0933626157840557,-0.757582842738439,-0.0853982481894961,-0.000315420855756088,0.000878673882994008,7.92925082464535e-05,51281.9467653204,34951.7346902268,-88849.3805201093
0.01,2.99248585258882,0.0383469684374994,-0.00923030493411191,0.664219564788445,0.000932418326248958,0.000448810862198564,-1.47472222566278e-19,0.130489772938792,0.0634705676614757,-2.20830698462598e-15,0.0933622452774046,-0.757581810065849,-0.0853981550494172,-0.000370506651151459,0.00103267258975848,9.3140078931242e-05,51285.4493337361,34955.6438112888,-88849.0910037429
0.011,2.99248685028667,0.0383474490363813,-0.00923030493411127,0.664218802977831,0.00106278982132536,0.000512326681239338,-1.22669243970902e-19,0.130081809575935,0.0634802798360603,-2.34737340588309e-15,0.0933618193767515,-0.757580622354583,-0.0853980479843712,-0.000425900653127087,0.00118771126642514,0.000107065045952481,51285.3167928666,34954.9248470518,-88849.1549725291
0.012,2.99248797795726,0.0383479930632314,-0.00923030493411142,0.6642179417801,0.00119220865811288,0.000575592619075388,-1.20055790914212e-19,0.12861811130506,0.0629865529198561,-1.62379657897357e-15,0.0933613383313488,-0.757579280111449,-0.0853979270571023,-0.000481045402636937,0.00134224313364939,0.000120927268923765,51282.2098034122,34950.4247031353,-88849.5042316405
0.013,2.99248923415684,0.0383486000336475,-0.00923030493411097,0.664216982260456,0.00131972383892963,0.000638154231275892,3.62968746698626e-19,0.126303308259496,0.0620851235935191,-2.30317736846098e-15,0.0933608028445964,-0.757577785105052,-0.0853977924445224,-0.000535486752440306,0.00149500639656708,0.000134612579856253,51276.6962004301,34942.8710076131,-88850.0803636202
