time,x_boom,y_boom,angle_boom,theta1,theta2,xt2,theta1_dot,theta2_dot,xt2_dot,fc1,fc2,fct2
0.028,2.86929502482902,2.20357037792923,0.000972865858509472,0.784874308509117,-0.783901442650608,0,-0.0364731760065524,0.104207989227234,0,65605.230293163,50411.5482052097,429.149703615134
0.029,2.86932905959538,2.20366935177803,0.00104211806490873,0.784837018205438,-0.78379490014053,0,-0.0372903036787875,0.106542510078043,0,65067.5804516709,49894.6948268274,402.248767622816
0.03,2.86936378190683,2.20377035542739,0.00111279230964819,0.784798962114032,-0.783686169804384,0,-0.0380560914061334,0.108730336145527,0,64554.7476081633,49401.8878925011,376.620398845513
0.031,2.86939914641304,2.20387325874089,0.0011847976411247,0.784760189203769,-0.783575391562645,0,-0.0387729102631056,0.110778241739581,0,64066.8705132826,48933.2580738149,352.270939430145
0.032,2.8694351099853,2.20397793792108,0.00125804753636967,0.784720746058774,-0.783462698522404,0,-0.0394431449950616,0.112693040240174,0,63603.8367754964,48488.6934641441,329.193985428342
0.033,2.86947163170587,2.20408427548167,0.00133245988173734,0.784680676888833,-0.783348217007095,0,-0.0400691699414892,0.11448151530908,0,63165.3294114874,48067.8845593405,307.372752601388
0.034,2.86950867283924,2.20419216016756,0.00140795691715639,0.784640023559414,-0.783232066642257,0,-0.0406533294187739,0.116150364837949,0,62750.8668086382,47670.3628746796,286.782108389028
0.035,2.86954619678865,2.20430148683294,0.00148446515106268,0.784598825637483,-0.78311436048642,0,-0.041197921931257,0.117706155837482,0,62359.8369324163,47295.5340018459,267.39031193193
0.036,2.8695841690411,2.20441215628609,0.00156191525209008,0.784557120449824,-0.782995205197734,0,-0.0417051876585219,0.119155288685988,0,61991.5265127971,46942.7058145971,249.160499124903
0.037,2.8696225571033,2.20452407510839,0.00164024192272094,0.784514943151084,-0.782874701228363,0,-0.042177298740171,0.12050396937093,0,61645.1458554635,46611.1124467209,232.051945332894
0.038,2.86966133043087,2.20463715545388,0.00171938375930512,0.784472326799147,-0.782752943039842,0,-0.042616351937113,0.121758188521426,0,61319.8498468459,46299.9345917138,216.02113450687
0.039,2.86970046035266,2.20475131483457,0.0017992831021902,0.78442930243584,-0.78263001933365,0,-0.043024363306472,0.122923706191614,0,61014.7556527807,46008.3166069607,201.022660020125
0.04,2.86973991999169,2.20486647589622,0.00187988587911045,0.784385899171268,-0.782506013292158,0,-0.0434032645725893,0.124006041492521,0,60728.9575500745,45735.3808467627,187.009979493685
0.041,2.86977968418417,2.20498256618819,0.00196114144447557,0.784342144270349,-0.782381002825874,0,-0.0437549009187705,0.125010466283925,0,60461.5392764087,45480.2395966355,173.936043185589
0.042,2.86981972939754,2.20509951793063,0.00204300241675998,0.784298063240384,-0.782255060823624,0,-0.0440810299653549,0.125942002249985,0,60211.5842370003,45242.0049357875,161.753813114807
0.043,2.86986003364856,2.20521726778153,0.00212542451580638,0.784253679918661,-0.782128255402854,0,-0.0443833217228757,0.126805420769415,0,59978.1838637864,45019.796813748,150.416688005656
0.044,2.86990057642219,2.20533575660581,0.00220836640153469,0.78420901655931,-0.782000650157775,0,-0.0446633593506931,0.127605245078826,0,59760.4443867538,44812.7495919309,139.878847232609
0.045,2.86994133859177,2.20545492924812,0.00229178951526154,0.784164093918749,-0.781872304403488,0,-0.0449226405607988,0.128345754287693,0,59557.4922437472,44620.0172690091,130.095525327324
0.046,2.86998230234105,2.20557473431082,0.00237565792459569,0.784118931339204,-0.781743273414608,0,-0.0451625795454902,0.129030988879549,0,59368.4783266358,44440.7775813486,121.023227128203
