time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0.097,2.18547730051927,3.56276482862323,0.781703619948124,0,0,44868.388510726,71258.6875825043,3981.58816253182
0.098,2.18560736231651,3.56265096779341,0.781655674573209,0,0,44875.4079050124,71272.1978414538,3981.35909910288
0.099,2.18573742560721,3.56253709464032,0.781607726635116,0,0,44881.9429766532,71284.9027952849,3981.13311020058
0.1,2.18586748978065,3.56242320969697,0.781559776358573,0,0,44888.0341997104,71296.8697238739,3980.90993813631
0.101,2.18599755427784,3.56230931345127,0.781511823949268,0,0,44893.7187303297,71308.1603934981,3980.68934634255
0.102,2.18612761858719,3.56219540634981,0.781463869595442,0,0,44899.0306715406,71318.8314967176,3980.47111768743
0.103,2.18625768224057,3.56208148880129,0.781415913469356,0,0,44904.0013179054,71328.9350588002,3980.2550529176
0.104,2.18638774480961,3.56196756117974,0.781367955728629,0,0,44908.6593811507,71338.5188125609,3980.04096922213
0.105,2.18651780590238,3.5618536238274,0.781319996517474,0,0,44913.0311983631,71347.6265442494,3979.82869890729
0.106,2.1866478651603,3.56173967705742,0.781272035967824,0,0,44917.14092379,71356.2984122082,3979.61808817578
0.107,2.18677792225535,3.56162572115631,0.781224074200369,0,0,44921.0107059426,71364.5712411222,3979.40899599938
0.108,2.18690797688747,3.56151175638617,0.781176111325509,0,0,44924.6608504533,71372.4787926081,3979.20129308238
0.109,2.18703802878219,3.5613977829868,0.781128147444219,0,0,44928.1099703281,71380.0520148668,3978.99486090513
0.11,2.18716807768846,3.56128380117753,0.781080182648856,0,0,44931.3751240324,71387.3192721299,3978.78959084505
0.111,2.18729812337669,3.56116981115901,0.781032217023884,0,0,44934.4719429811,71394.3065565043,3978.58538336517
0.112,2.18742816563686,3.56105581311477,0.780984250646547,0,0,44937.4147485281,71401.0376823767,3978.38214726932
0.113,2.18755820427693,3.56094180721265,0.780936283587484,0,0,44940.2166598005,71407.5344656075,3978.17979901579
0.114,2.18768823912126,3.56082779360622,0.780888315911292,0,0,44942.8896927575,71413.8168881497,3977.97826208666
0.115,2.18781827000921,3.56071377243589,0.780840347677039,0,0,44945.4448513715,71419.9032495793,3977.7774664074
0.116,2.18794829679388,3.56059974383012,0.780792378938741,0,0,44947.8922114475,71425.810306396,3977.57734781327
0.117,2.18807831934092,3.56048570790639,0.780744409745791,0,0,44950.240997504,71431.5533997976,3977.37784755992
0.118,2.18820833752747,3.56037166477218,0.780696440143352,0,0,44952.4996537115,71437.1465735805,3977.17891187173
0.119,2.18833835124114,3.56025761452578,0.780648470172728,0,0,44954.675908662,71442.6026817911,3976.9804915295
0.12,2.18846836037915,3.56014355725711,0.780600499871686,0,0,44956.776835274,71447.933488295,3976.78254148912
0.121,2.18859836484749,3.56002949304844,0.780552529274768,0,0,44958.808905459,71453.1497576423,3976.58502053346
0.122,2.18872836456014,3.55991542197504,0.780504558413563,0,0,44960.7780405724,71458.2613389269,3976.38789095124
0.123,2.18885835943844,3.55980134410577,0.780456587316961,0,0,44962.6896574897,71463.2772423789,3976.19111824364
0.124,2.18898834941038,3.55968725950366,0.780408616011391,0,0,44964.5487110014,71468.2057098364,3975.99467085442
0.125,2.1891183344101,3.55957316822638,0.780360644521027,0,0,44966.3597327829,71473.0542795295,3975.79851992178
0.126,2.1892483143773,3.55945907032674,0.780312672867989,0,0,44968.126866973,71477.8298452254,3975.60263905182
0.127,2.1893782892568,3.55934496585307,0.780264701072514,0,0,44969.8539028601,71482.5387105685,3975.40700411048
0.128,2.18950825899806,3.55923085484963,0.780216729153125,0,0,44971.544304982,71487.1866391208,3975.21159303186
0.129,2.18963822355482,3.55911673735699,0.780168757126775,0,0,44973.2012405955,71491.7789000323,3975.01638564329
0.13,2.18976818288469,3.55900261341227,0.780120785008986,0,0,44974.8276048077,71496.3203098254,3974.82136350535
0.131,2.18989813694883,3.55888848304953,0.780072812813972,0,0,44976.4260438065,71500.8152710172,3974.62650976395
0.132,2.19002808571167,3.55877434629998,0.780024840554753,0,0,44977.998975913,71505.2678071249,3974.43180901626
