time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0,3.90723937735328,1.10231006095285,0,0,0.5,64776.1374777953,138181.533679692,9.57567358739198e-14
2.54296919461897e-06,3.90723937735369,1.10231006095285,0,0,0.500000000000413,64751.0006172396,138123.825428416,36.8532019845492
5.08593838923795e-06,3.90723937735493,1.10231006095285,0,0,0.500000000001652,64725.8765378731,138066.146404188,73.6876654135831
7.62890758385692e-06,3.90723937735741,1.10231006095285,0,0,0.50000000000413,64700.7652348665,138008.496711529,110.503397423406
1.01718767784759e-05,3.90723937736092,1.10231006095285,0,0,0.500000000007648,64675.6628732781,137950.867546303,147.306020424998
1.50656854811211e-05,3.90723937737289,1.10231006095285,0,0,0.500000000019617,64627.3876385522,137840.038871256,218.082439630705
2.25134796379606e-05,3.90723937741042,1.10231006095285,0,0,0.500000000057144,64554.0069426069,137671.57391545,325.666026702972
3.29287595492685e-05,3.90723937752011,1.10231006095285,0,0,0.500000000166838,64451.5709132951,137436.404695071,475.847698194357
4.95874753198249e-05,3.90723937790517,1.10231006095285,0,0,0.50000000055189,64288.1730840914,137061.281411992,715.405593506427
8.28233659659104e-05,3.9072393799275,1.10231006095285,0,0,0.500000002574222,63963.8026349614,136316.602588668,1190.9658077475
0.000132488164189907,3.90723938776892,1.10231006095285,0,0,0.500000010415647,63483.1068811955,135213.037470819,1895.71499553091
0.000182152962413903,3.90723940371862,1.10231006095285,0,0,0.500000026365346,63007.1940947457,134120.453112467,2593.45204547272
0.000231817760637899,3.90723943072273,1.10231006095285,0,0,0.500000053369456,62536.0292211367,133038.769103031,3284.22841647912
0.000281482558861896,3.90723947174381,1.10231006095285,0,0,0.500000094390537,62069.5768500919,131967.904215459,3968.09608946149
0.000331147357085892,3.90723952971408,1.10231006095285,0,0,0.500000152360803,61607.8018314689,130907.777819226,4645.10666327423
0.000380812155309888,3.90723960753139,1.10231006095285,0,0,0.500000230178109,61150.6693193952,129858.309981566,5315.31128991736
0.000430476953533885,3.90723970806204,1.10231006095285,0,0,0.500000330708764,60698.1447317511,128819.421374516,5978.76073400091
0.000480141751757881,3.90723983414275,1.10231006095285,0,0,0.500000456789476,60250.1937246058,127791.033216276,6635.50541026853
0.000529806549981877,3.90723998858145,1.10231006095285,0,0,0.500000611228172,59806.7821826322,126773.067249217,7285.59539766755
0.000592956808675877,3.90724023066355,1.10231006095285,0,0,0.500000853310273,59249.4689860154,125493.611631446,8102.6787781377
0.000656107067369877,3.90724052873727,1.10231006095285,0,0,0.500001151383988,58699.3711383647,124230.722031701,8909.18496518781
0.000719257326063877,3.90724088834426,1.10231006095285,0,0,0.500001510990979,58156.420482916,122984.24210269,9705.21400673356
0.000797174516220074,3.90724142564362,1.10231006095285,0,0,0.500002048290348,57496.2479895417,121468.652183692,10673.1061698175
0.00087509170637627,3.90724207520238,1.10231006095285,0,0,0.500002697849103,56846.725702385,119977.515180055,11625.3865387212
0.000953008896532466,3.90724284699458,1.10231006095285,0,0,0.500003469641302,56207.7290202748,118510.545261062,12562.238013116
0.001,3.90724337495867,1.10231006095285,0,0,0.500003997605398,55827.4015927627,117637.414109497,13119.8485536095
0.00108392247736633,3.90724444563866,1.10231006095285,0,0,0.50000506828538,55157.4737563616,116099.440204671,14102.0548975286
0.00119937864822511,3.90724620491378,1.10231006095285,0,0,0.500006827560507,54255.0868542388,114027.810021769,15425.0852481989
0.0013148348190839,3.90724832039559,1.10231006095285,0,0,0.500008943042309,53374.6960258068,112006.685709624,16715.8750265024
0.00143029098994269,3.90725082160938,1.10231006095285,0,0,0.500011444256103,52515.9201793068,110035.193035048,17974.9836079453
0.00154574716080147,3.90725373773911,1.10231006095285,0,0,0.500014360385835,51678.3792416322,108112.460095757,19202.9688669995
0.00166120333166026,3.9072570972375,1.10231006095285,0,0,0.500017719884221,50861.699133674,106237.628733827,20400.3798740755
0.00180013766268941,3.90726176940628,1.10231006095285,0,0,0.500022392053007,49906.0464801483,104043.778378792,21801.5679804366
0.00193907199371856,3.90726717048057,1.10231006095285,0,0,0.500027793127291,48979.4402266442,101916.628187703,23160.1872988825
0.002,3.90726977738788,1.10231006095285,0,0,0.500030400034608,48582.1363685373,101004.569906494,23742.7332166728
0.0021227386348156,3.90727550098991,1.10231006095285,0,0,0.500036123636628,47798.1025482367,99204.740016572,24892.3339706135
0.00231158860292556,3.90728559769856,1.10231006095285,0,0,0.500046220345279,46633.574906605,96531.4835223761,26599.8746619452
0.00250043857103552,3.90729733774327,1.10231006095285,0,0,0.500057960389993,45518.614259328,93972.058271362,28234.7816010815
0.00268928853914548,3.90731082062771,1.10231006095285,0,0,0.50007144327443,44451.8003353654,91523.2058922854,29799.1392614233
0.00287813850725544,3.90732614341074,1.10231006095285,0,0,0.500086766057465,43431.7234224956,89181.6921994577,31295.0165817381
0.003,3.90733704469817,1.10231006095285,0,0,0.500097667344895,42797.7495658371,87726.4815162704,32224.7291787999
0.00318770466287654,3.90735547570142,1.10231006095285,0,0,0.500116098348145,41857.207966101,85567.6323067639,33604.0686869402
0.00343091559268635,3.90738243198847,1.10231006095285,0,0,0.500143054635195,40701.6036962985,82915.2412773555,35298.9014576375
0.00367412652249615,3.90741300346011,1.10231006095285,0,0,0.500173626106832,39614.9184980665,80421.1537286744,36892.7721750543
0.00391733745230596,3.90744735229976,1.10231006095285,0,0,0.500207974946484,38594.5392642411,78079.3742268819,38389.515524904
0.004,3.90745990515207,1.10231006095285,0,0,0.500220527798795,38262.5324691254,77317.446636184,38876.5503053653
