time,x_boom,y_boom,angle_boom,theta1,theta2,xt2,theta1_dot,theta2_dot,xt2_dot,fc1,fc2,fct2
0.41,2.8846029622491,2.25129596745246,0.0346208167447394,0.766692794828361,-0.732071978083622,0,-0.0479331920206505,0.136051528046778,0,56778.5276443792,43332.2683900078,186.409274522319
0.42,2.88497253371349,2.25253352381172,0.0355017209541179,0.766213475442184,-0.730711754488065,0,-0.0479309044137608,0.135998293049397,0,56770.7516992697,43364.7084909331,191.405494614124
0.43,2.88534039908566,2.25376963178113,0.0363821086255133,0.765734179250801,-0.729352070625287,0,-0.0479285588570519,0.135943715803819,0,56762.9564581465,43397.2106546467,196.398886176955
0.44,2.88570656337154,2.25500426550748,0.0372619669188759,0.765254906833694,-0.727992939914818,0,-0.0479261553535935,0.135887796848579,0,56755.1420650645,43429.774752126,201.389372440428
0.45,2.88607103166617,2.25623739916472,0.0381412829995872,0.764775658770317,-0.72663437577073,0,-0.0479236939061138,0.135830536735625,0,56747.3086654339,43462.4006529641,206.37687667512
0.46,2.88643380915352,2.25746900695435,0.0390200440385915,0.764296435640093,-0.725276391601501,0,-0.0479211745175689,0.13577193603021,0,56739.4564060198,43495.0882253658,211.361322194575
0.47,2.88679490110618,2.2586990631059,0.0398982372125266,0.763817238022415,-0.723919000809888,0,-0.047918597191142,0.13571199531043,0,56731.5854349665,43527.8373361595,216.342632356217
0.48,2.88715431288516,2.25992754187729,0.0407758497038564,0.763338066496645,-0.722562216792789,0,-0.0479159619297889,0.135650715168254,0,56723.6959018849,43560.647850843,221.320730557368
0.49,2.88751204993958,2.26115441755531,0.0416528687010003,0.762858921642116,-0.721206052941116,0,-0.0479132687369201,0.135588096208153,0,56715.7879575912,43593.5196334042,226.295540247546
0.5,2.88786811780646,2.262379664456,0.0425292813984692,0.762379804038126,-0.719850522639657,0,-0.047910517615378,0.135524139048243,0,56707.8617542721,43626.4525464218,231.266984922092
0.51,2.88822252211042,2.26360325692513,0.0434050749969899,0.76190071426394,-0.71849563926695,0,-0.0479077085690278,0.135458844319828,0,56699.9174456456,43659.4464511689,236.23498811776
0.52,2.88857526856344,2.26482516933855,0.0442802367036442,0.76142165289879,-0.717141416195146,0,-0.0479048416008254,0.135392212667512,0,56691.9551865001,43692.5012072914,241.199473430635
0.53,2.88892636296455,2.26604537610265,0.0451547537319947,0.760942620521876,-0.715787866789881,0,-0.0479019167144088,0.135324244748517,0,56683.975133097,43725.6166730778,246.160364503091
0.54,2.88927581119956,2.26726385165478,0.0460286133022179,0.760463617712359,-0.714435004410141,0,-0.0478989339135296,0.135254941233711,0,56675.9774430651,43758.7927053783,251.117585028144
0.55,2.88962361924082,2.26848057046365,0.046901802641235,0.759984645049366,-0.713082842408131,0,-0.0478958932013711,0.135184302807602,0,56667.9622752098,43792.02915946,256.071058755804
0.56,2.88996979314686,2.26969550702975,0.0477743089828442,0.759505703111988,-0.711731394129144,0,-0.0478927945816849,0.135112330166749,0,56659.9297897386,43825.3258891639,261.020709488305
0.57,2.89031433906213,2.27090863588574,0.0486461195678497,0.759026792479279,-0.710380672911429,0,-0.0478896380585638,0.135039024021694,0,56651.8801480925,43858.6827467769,265.966461086253
0.58,2.89065726321673,2.27211993159688,0.0495172216441939,0.758547913730254,-0.70903069208606,0,-0.0478864236356458,0.134964385096168,0,56643.8135131628,43892.0995831732,270.908237461483
0.59,2.89099857192605,2.27332936876147,0.0503876024670883,0.758069067443889,-0.707681464976801,0,-0.0478831513166824,0.134888414126635,0,56635.7300488323,43925.5762474883,275.845962593835
0.6,2.89133827159051,2.27453692201118,0.0512572492991436,0.757590254199125,-0.706333004899981,0,-0.0478798211056528,0.134811111862859,0,56627.6299204696,43959.1125874613,280.779560517285
0.61,2.89167636869522,2.27574256601152,0.0521261494105013,0.757111474574856,-0.704985325164355,0,-0.0478764330067634,0.134732479067793,0,56619.5132947219,43992.7084492728,285.708955324744
0.62,2.89201286980968,2.27694627546219,0.0529942900789634,0.756632729149942,-0.703638439070978,0,-0.0478729870238794,0.134652516517576,0,56611.3803394259,44026.3636774799,290.634071173471
0.63,2.89234778158744,2.27814802509755,0.0538616585901245,0.756154018503198,-0.702292359913073,0,-0.0478694831613211,0.134571225001537,0,56603.2312235928,44060.0781150039,295.554832288416
0.64,2.89268111076579,2.27934778968693,0.0547282422375003,0.755675343213397,-0.700947100975897,0,-0.0478659214234085,0.134488605321621,0,56595.0661176061,44093.85160325,300.471162953165
0.65,2.89301286416543,2.2805455440351,0.0555940283226584,0.755196703859272,-0.699602675536613,0,-0.0478623018142343,0.134404658293533,0,56586.8851930992,44127.6839820222,305.382987517576
0.66,2.89334304869013,2.28174126298262,0.0564590041553512,0.754718101019508,-0.698259096864157,0,-0.0478586243382324,0.134319384745709,0,56578.6886227689,44161.5750893767,310.290230402533
0.67,2.89367167132639,2.28293492140626,0.0573231570536424,0.754239535272751,-0.696916378219108,0,-0.0478548890000638,0.134232785519885,0,56570.4765806507,44195.5247618185,315.192816094919
0.68,2.89399873914309,2.28412649421938,0.0581864743440403,0.753761007197598,-0.695574532853558,0,-0.0478510958039351,0.134144861470531,0,56562.249241959,44229.5328341726,320.09066915143
0.69,2.89432425929116,2.28531595637231,0.0590489433616252,0.753282517372603,-0.694233574010977,0,-0.047847244754621,0.134055613465534,0,56554.0067831046,44263.5991395906,324.983714199455
0.7,2.89464823900321,2.28650328285273,0.0599105514501821,0.752804066376272,-0.69289351492609,0,-0.047843335856669,0.133965042385967,0,56545.7493817251,44297.7235095648,329.87187593739
0.71,2.89497068559319,2.28768844868609,0.0607712859623284,0.752325654787065,-0.691554368824737,0,-0.0478393691149677,0.133873149125179,0,56537.4772165552,44331.9057738294,334.755079139578
0.72,2.89529160645599,2.28887142893596,0.0616311342596458,0.751847283183396,-0.69021614892375,0,-0.0478353445340645,0.133779934590848,0,56529.1904675712,44366.1457604499,339.633248651519
0.73,2.89561100906715,2.2900521987044,0.0624900837128072,0.751368952143626,-0.688878868430819,0,-0.0478312621190753,0.133685399702358,0,56520.8893159127,44400.44329577,344.506309396109
0.74,2.8959289009824,2.29123073313239,0.0633481217017088,0.750890662246072,-0.687542540544363,0,-0.047827121874775,0.133589545392852,0,56512.5739438666,44434.7982043823,349.374186372166
0.75,2.89624528983735,2.29240700740014,0.0642052356155993,0.750412414068999,-0.686207178453399,0,-0.0478229238062795,0.133492372608657,0,56504.2445347971,44469.2103090725,354.23680465826
0.76,2.89656018334709,2.29358099672751,0.0650614128532085,0.749934208190621,-0.684872795337412,0,-0.0478186679184773,0.13339388230861,0,56495.9012733263,44503.6794309432,359.094089408611
0.77,2.8968735893058,2.29475267637437,0.0659166408228774,0.749456045189101,-0.683539404366223,0,-0.0478143542167118,0.133294075464732,0,56487.544345144,44538.2053892734,363.945965861076
0.78,2.89718551558637,2.29592202164095,0.066770906942687,0.748977925642552,-0.682207018699864,0,-0.0478099827060987,0.133192953062121,0,56479.1739370077,44572.7880014945,368.792359333332
0.79,2.89749597014002,2.29708900786823,0.0676241986405883,0.748499850129032,-0.680875651488444,0,-0.0478055533919814,0.133090516098946,0,56470.7902368745,44607.4270832996,373.633195226395
0.8,2.89780496099588,2.2982536104383,0.0684765033545299,0.748021819226548,-0.679545315872018,0,-0.0478010662797033,0.132986765585997,0,56462.393433768,44642.1224485213,378.468399024021
0.81,2.89811249626061,2.29941580477469,0.0693278085325882,0.747543833513051,-0.678216024980463,0,-0.0477965213747211,0.132881702547365,0,56453.9837178234,44676.873909163,383.297896294452
0.82,2.898418584118,2.3005755663428,0.0701781016330966,0.747065893566439,-0.676887791933343,0,-0.0477919186823783,0.132775328020102,0,56445.5612801806,44711.6812753175,388.121612695382
0.83,2.89872323282853,2.30173287065017,0.0710273701247728,0.746587999964554,-0.675560629839782,0,-0.0477872582084728,0.132667643053651,0,56437.1263131211,44746.5443552518,392.939473969283
0.84,2.899026450729,2.30288769324692,0.0718756014868488,0.746110153285182,-0.674234551798333,0,-0.0477825399584617,0.132558648711438,0,56428.6790100185,44781.462955361,397.75140594473
0.85,2.89932824623209,2.30404000972603,0.0727227832091992,0.745632354106052,-0.672909570896853,0,-0.0477777639380292,0.132448346068713,0,56420.2195652571,44816.4368801106,402.557334542902
0.86,2.89962862782593,2.30518979572374,0.0735689027924686,0.745154603004836,-0.671585700212367,0,-0.0477729301529735,0.13233673621437,0,56411.7481742317,44851.4659320248,407.357185776865
0.87,2.8999276040737,2.30633702691987,0.0744139477482026,0.744676900559148,-0.670262952810945,0,-0.0477680386092061,0.132223820249919,0,56403.2650334074,44886.5499117107,412.150885748005
0.88,2.90022518361319,2.30748167903819,0.0752579055989722,0.744199247346542,-0.66894134174757,0,-0.0477630893127525,0.132109599289493,0,56394.7703403562,44921.6886178962,416.938360651152
0.89,2.90052137515638,2.30862372784672,0.0761007638785055,0.743721643944514,-0.667620880066008,0,-0.0477580822694108,0.131994074460977,0,56386.2642935123,44956.881847224,421.719536776936
0.9,2.90081618748897,2.30976314915814,0.0769425101318143,0.743244090930499,-0.666301580798685,0,-0.0477530174852063,0.131877246903969,0,56377.7470924422,44992.1293944583,426.494340510022
0.91,2.90110962946998,2.31089991883005,0.077783131915321,0.742766588881871,-0.66498345696655,0,-0.0477478949665056,0.131759117771935,0,56369.2189376685,45027.4310523334,431.262698330696
0.92,2.90140171003128,2.31203401276537,0.0786226167969883,0.742289138375943,-0.663666521578955,0,-0.0477427147192202,0.131639688230621,0,56360.6800306665,45062.7866115473,436.024536817331
0.93,2.90169243817715,2.31316540691263,0.0794609523564458,0.741811739989965,-0.662350787633519,0,-0.0477374767497167,0.131518959458617,0,56352.130573901,45098.195860788,440.779782647973
0.94,2.90198182298384,2.31429407726631,0.0802981261851183,0.741334394301124,-0.661036268116006,0,-0.0477321810643616,0.131396932647704,0,56343.5707708902,45133.6585867602,445.528362596215
0.95,2.90226987359909,2.31541999986721,0.0811341258863522,0.740857101886545,-0.659722976000192,0,-0.0477268276694076,0.131273609001937,0,56335.0008259527,45169.1745739963,450.270203540573
0.96,2.90255659924168,2.3165431508027,0.0819689390755441,0.740379863323285,-0.658410924247741,0,-0.0477214165716759,0.13114898973879,0,56326.420944534,45204.7436050936,455.005232457531
0.97,2.90284200920099,2.31766350620711,0.0828025533802659,0.739902679188339,-0.657100125808074,0,-0.0477159477774194,0.131023076088013,0,56317.8313328932,45240.3654604674,459.733376428779
0.98,2.90312611283648,2.31878104226201,0.083634956440395,0.739425550058636,-0.655790593618241,0,-0.0477104212933455,0.130895869292317,0,56309.2321982747,45276.0399184699,464.454562637693
0.99,2.9034089195773,2.31989573519655,0.0844661359082391,0.738948476511037,-0.654482340602797,0,-0.0477048371261617,0.130767370607373,0,56300.6237487925,45311.7667553027,469.168718374817
1,2.90369043892171,2.32100756128777,0.0852960794486635,0.738471459122336,-0.653175379673672,0,-0.0476991952823482,0.13063758130113,0,56292.0061934853,45347.5457450438,473.875771035846
1.01,2.9039706804367,2.32211649686091,0.0861247747392187,0.73799449846926,-0.651869723730041,0,-0.0476934957690673,0.130506502654725,0,56283.3797423624,45383.3766596723,478.575648120561
1.02,2.90424965375746,2.3232225182897,0.0869522094702649,0.737517595128467,-0.650565385658203,0,-0.0476877385931402,0.130374135961915,0,56274.7446062032,45419.2592689157,483.26827724061
1.03,2.90452736858689,2.32432560199671,0.0877783713451005,0.737040749676547,-0.649262378331446,0,-0.0476819237615018,0.130240482528961,0,56266.1009967476,45455.1933403815,487.953586114391
1.04,2.90480383469512,2.32542572445364,0.0886032480800892,0.736563962690017,-0.647960714609928,0,-0.047676051281087,0.130105543675086,0,56257.4491265413,45491.1786394298,492.631502571146
1.05,2.90507906191904,2.32652286218158,0.0894268274047823,0.736087234745326,-0.646660407340543,0,-0.0476701211591717,0.129969320731902,0,56248.7892090757,45527.2149292763,497.301954549745
1.06,2.90535306016177,2.32761699175138,0.0902490970620497,0.73561056641885,-0.6453614693568,0,-0.0476641334026908,0.129831815044099,0,56240.1214585943,45563.3019708328,501.964870102764
1.07,2.90562583939217,2.3287080897839,0.0910700448082013,0.735133958286894,-0.644063913478693,0,-0.047658088019034,0.129693027968642,0,56231.4460902892,45599.4395228525,506.62017739405
1.08,2.90589740964434,2.32979613295029,0.0918896584131175,0.73465741092569,-0.642767752512573,0,-0.0476519850154773,0.129552960875344,0,56222.7633200295,45635.6273417078,511.2678047034
1.09,2.90616778101712,2.33088109797235,0.0927079256603703,0.734180924911396,-0.641472999251026,0,-0.0476458243994102,0.129411615146637,0,56214.073364628,45671.8651815934,515.907680423783
1.1,2.90643696367357,2.33196296162274,0.0935248343473521,0.733704500820097,-0.640179666472744,0,-0.0476396061783362,0.129268992177572,0,56205.3764416433,45708.1527943626,520.53973306514
1.11,2.90670496784046,2.33304170072532,0.0943403722854009,0.733228139227801,-0.6388877669424,0,-0.0476333303597585,0.129125093375819,0,56196.6727694031,45744.4899295388,525.163891255338
1.12,2.90697180380774,2.3341172921554,0.0951545272999221,0.732751840710443,-0.63759731341052,0,-0.0476269969511804,0.128979920161328,0,56187.9625671272,45780.8763344006,529.78008373769
1.13,2.90723748192804,2.33518971284005,0.0959672872305185,0.732275605843879,-0.636308318613361,0,-0.0476206059602191,0.12883347396712,0,56179.2460546598,45817.3117537665,534.388239377301
1.14,2.90750201261615,2.33625893975834,0.0967786399311123,0.731799435203891,-0.635020795272779,0,-0.0476141573947189,0.128685756238724,0,56170.523452768,45853.7959302172,538.988287155403
1.15,2.90776540634846,2.33732494994167,0.0975885732700709,0.731323329366181,-0.63373475609611,0,-0.0476076512625241,0.128536768433719,0,56161.7949828302,45890.3286038513,543.580156178064
1.16,2.90802767366246,2.33838772047398,0.0983970751303312,0.730847288906374,-0.632450213776043,0,-0.0476010875713655,0.128386512022757,0,56153.060867049,45926.9095124347,548.163775670447
1.17,2.90828882515618,2.33944722849206,0.0992041334095246,0.730371314400016,-0.631167180990491,0,-0.0475944663293149,0.128234988488884,0,56144.3213283103,45963.5383912893,552.739074982004
1.18,2.9085488714877,2.34050345118581,0.100009736020102,0.729895406422571,-0.62988567040247,0,-0.0475877875442166,0.128082199327082,0,56135.5765902844,46000.2149733616,557.305983584814
1.19,2.90880782337454,2.34155636579848,0.100813870889455,0.729419565549426,-0.628605694659971,0,-0.047581051224256,0.127928146045974,0,56126.8268773101,46036.9389891192,561.864431074894
1.2,2.90906569159319,2.34260594962696,0.101616525960045,0.728943792355885,-0.627327266395839,0,-0.0475742573773914,0.127772830165554,0,56118.072414383,46073.7101665437,566.414347176356
1.21,2.9093224869785,2.34365218002203,0.102417689189524,0.72846808741717,-0.626050398227645,0,-0.0475674060121491,0.127616253219003,0,56109.3134272953,46110.5282312234,570.955661736592
1.22,2.90957822042319,2.34469503438862,0.103217348550857,0.72799245130842,-0.624775102757562,0,-0.0475604971367147,0.127458416751551,0,56100.5501424251,46147.3929061826,575.488304731966
1.23,2.90983290287723,2.34573449018604,0.104015492032451,0.727516884604693,-0.623501392572242,0,-0.0475535307593873,0.127299322320937,0,56091.782786823,46184.3039119446,580.012206267668
1.24,2.91008654534736,2.34677052492825,0.104812107638271,0.72704138788096,-0.622229280242689,0,-0.0475465068883523,0.127138971497402,0,56083.0115882574,46221.2609665545,584.527296576011
1.25,2.91033915889645,2.3478031161841,0.105607183387973,0.726565961712112,-0.620958778324139,0,-0.0475394255325909,0.126977365863468,0,56074.236775058,46258.2637854522,589.033506021437
1.26,2.91059075464301,2.34883224157758,0.106400707317016,0.726090606672949,-0.619689899355932,0,-0.0475322867002888,0.126814507014387,0,56065.4585762425,46295.3120815618,593.530765098029
1.27,2.91084134376058,2.34985787878804,0.107192667476796,0.725615323338189,-0.618422655861393,0,-0.0475250904001996,0.126650396557238,0,56056.677221452,46332.4055652323,598.019004431374
1.28,2.9110909374772,2.35088000555046,0.10798305193476,0.725140112282462,-0.617157060347702,0,-0.0475178366409637,0.126485036111717,0,56047.8929409305,46369.5439442182,602.498154780623
1.29,2.91133954707479,2.35189859965566,0.108771848774534,0.72466497408031,-0.615893125305776,0,-0.0475105254316759,0.126318427310025,0,56039.1059655337,46406.7269236672,606.968147035954
1.3,2.91158718388861,2.35291363895056,0.109559046096044,0.724189909306189,-0.614630863210145,0,-0.0475031567806354,0.126150571796416,0,56030.316526657,46443.9542060768,611.428912226889
1.31,2.91183385930669,2.35392510133835,0.110344632015639,0.723714918534464,-0.613370286518825,0,-0.0474957306970509,0.125981471227647,0,56021.524856319,46481.2254913242,615.880381512772
1.32,2.91207958476922,2.3549329647788,0.111128594666212,0.723240002339412,-0.612111407673199,0,-0.0474882471900173,0.125811127272527,0,56012.731187088,46518.5404766246,620.322486192172
1.33,2.91232437176801,2.35593720728841,0.111910922197324,0.722765161295218,-0.610854239097894,0,-0.0474807062682885,0.125639541612486,0,56003.9357521564,46555.8988565705,624.755157698417
1.34,2.91256823184585,2.35693780694067,0.112691602775324,0.722290395975979,-0.609598793200655,0,-0.0474731079411868,0.125466715940888,0,55995.1387851284,46593.3003229559,629.178327604412
1.35,2.91281117659598,2.35793474186628,0.11347062458347,0.721815706955697,-0.608345082372227,0,-0.0474654522176934,0.125292651963264,0,55986.3405202276,46630.7445649389,633.591927620968
1.36,2.91305321766146,2.35892799025334,0.114247975822056,0.721341094808285,-0.607093118986229,0,-0.0474577391075854,0.125117351398103,0,55977.5411922189,46668.2312689646,637.99588959655
