"time","x_boom","y_boom","theta1","theta2","xt2","theta1_dot","theta2_dot","xt2_dot","fc1","fc2","fct2"
0.1,2.19032605624084,3.55851259077904,0.779914833264263,0,0,-0.06849758335909,0,0,44912.8824797382,71402.0027379213,3969.67971312446
0.2,2.20882878522057,3.5421442010972,0.773062830887191,0,0,-0.068511504708795,0,0,45173.0351190391,72097.4119967716,3941.53989252504
0.3,2.22721177959828,3.52565586870823,0.766213498843795,0,0,-0.068472705282147,0,0,45358.3484247433,72668.591970789,3913.69619424611
0.4,2.24546882299644,3.50905353764881,0.759368900298259,0,0,-0.068417008130041,0,0,45541.2355034155,73235.9929704083,3885.69251217641
0.5,2.26359483338739,3.49234238743446,0.752530724083907,0,0,-0.06834443010473,0,0,45721.6960404335,73799.4679531161,3857.53746127282
0.6,2.28158485532459,3.47552771757403,0.7457006574184,0,0,-0.068254989113939,0,0,45899.7247404392,74358.8627082001,3829.23986818287
0.7,2.29943406257215,3.45861494412747,0.738880385518486,0,0,-0.068148707225873,0,0,46075.3178203768,74914.0268873867,3800.80872332357
0.8,2.31713776066013,3.44160959606021,0.732071591184204,0,0,-0.068025610664108,0,0,46248.4729548853,75464.8140846386,3772.25317491496
0.9,2.33469138927792,3.4245173114747,0.725275954383673,0,0,-0.067885729800764,0,0,46419.1892219737,76011.0819111342,3743.58252284345
1,2.35209052450182,3.40734383372496,0.718495151838587,0,0,-0.067729099149233,0,0,46587.4670487142,76552.69206479,3714.80621236655
1.1,2.36933088085318,3.3900950074207,0.711730856610513,0,0,-0.067555757356217,0,0,46753.3081575212,77089.5103951221,3685.93382766586
1.2,2.38640831318391,3.37277677432707,0.704984737688081,0,0,-0.067365747190706,0,0,46916.7155123666,77621.4069621727,3656.97508526309
1.3,2.40331881838622,3.35539516916675,0.698258459575191,0,0,-0.067159115535333,0,0,47077.6932660508,78148.2560912766,3627.93982730234
1.4,2.42005853692406,3.33795631533104,0.691553681880319,0,0,-0.066935913372845,0,0,47236.2467071942,78669.9364212322,3598.8380147184
1.5,2.43662375418387,3.32046642050642,0.684872058907037,0,0,-0.066696195775648,0,0,47392.3822083593,79186.3309481815,3569.67972029254
1.6,2.45301090164254,3.30293177222374,0.678215239245833,0,0,-0.066440021889889,0,0,47546.1071740921,79697.3270629895,3540.47512161496
1.7,2.46921655785106,3.28535873333651,0.671584865367351,0,0,-0.066167454922947,0,0,47697.4299900341,80202.8165840195,3511.23449395726
1.8,2.48523744923229,3.26775373743556,0.664982573217133,0,0,-0.065878562126613,0,0,47846.359971944,80702.695783179,3481.96820307366
1.9,2.50107045069198,3.25012328420674,0.658409991811975,0,0,-0.065573414780715,0,0,47992.9073160278,81196.8654076095,3452.68669793287
2,2.51671258604228,3.23247393473874,0.651868742837991,0,0,-0.065252088176067,0,0,48137.0830493438,81685.2306947813,3423.40050339984
2.1,2.53216102823743,3.21481230678794,0.645360440250486,0,0,-0.064914661594912,0,0,48278.8989809035,82167.7013820179,3394.12021287427
2.2,2.54741309942153,3.19714507000721,0.638886689875739,0,0,-0.064561218292397,0,0,48418.3676538167,82644.1917110231,3364.85648089447
2.3,2.56246627078885,3.1794789411456,0.632449089014785,0,0,-0.064191845475421,0,0,48555.5022975583,83114.6204257303,3335.62001572373
2.4,2.57731816225722,3.16182067922568,0.626049226049308,0,0,-0.063806634281036,0,0,48690.3167814905,83578.9107654607,3306.42157192207
2.5,2.59196654195548,3.14417708070536,0.619688680049733,0,0,-0.063405679754396,0,0,48822.8255686264,84036.9904515622,3277.27194292111
2.6,2.60640932552644,3.12655497463091,0.61336902038561,0,0,-0.062989080824991,0,0,48953.0436706622,84488.7916693529,3248.18195360521
2.7,2.62064457524679,3.10896121778769,0.607091806338397,0,0,-0.062556940282434,0,0,49080.9866034198,84934.2510438369,3219.16245291516
2.8,2.63467049896616,3.09140268985514,0.600858586716734,0,0,-0.062109364751109,0,0,49206.6703432382,85373.3096101629,3190.22430648073
2.9,2.6484854488673,3.07388628857236,0.594670899474291,0,0,-0.061646464663113,0,0,49330.1112842672,85805.9127787652,3161.37838929207
3,2.66208792005025,3.0564189249206,0.588530271330308,0,0,-0.061168354232564,0,0,49451.326196474,86232.0102948686,3132.63557842092
3.1,2.6754765489432,3.03900751832854,0.582438217392896,0,0,-0.060675151425812,0,0,49570.3321847351,86651.5561930804,3104.00674579827
3.2,2.68865011154322,3.02165899190646,0.576396240785205,0,0,-0.060166977933477,0,0,49687.1466488106,87064.5087467359,3075.50275105889
3.3,2.70160752149041,3.00438026771494,0.570405832274555,0,0,-0.059643959139521,0,0,49801.7872441665,87470.830412007,3047.13443446148
3.4,2.71434782797908,2.98717826207369,0.564468469904612,0,0,-0.059106224091124,0,0,49914.2718436214,87870.4877667759,3018.91260989317
3.5,2.72687021351002,2.97005988091578,0.558585618630695,0,0,-0.058553905466283,0,0,50024.6185005908,88263.4514457835,2990.8480579608
3.6,2.73917399148807,2.95303201519254,0.552758729958331,0,0,-0.057987139541524,0,0,50132.8454125435,88649.6960695849,2962.95151918635
3.7,2.7512586036695,2.93610153633398,0.546989241585109,0,0,-0.057406066157796,0,0,50238.9708861818,89029.2001701819,2935.23368730323
3.8,2.7631236174639,2.91927529176952,0.541278577045955,0,0,-0.056810828686139,0,0,50343.0133031265,89401.9461111904,2907.70520266888
